Bloque,IPs Muestra,Resultado,zen.spamhaus.org,Total Listas
185.220.101.0/24,185.220.101.123,AUDITORIA,1,1
185.220.101.0/24,185.220.101.124,AUDITORIA,1,1
185.220.101.0/24,185.220.101.125,AUDITORIA,1,1
185.220.101.0/24,185.220.101.126,AUDITORIA,1,1
185.220.101.0/24,185.220.101.127,AUDITORIA,1,1
185.220.101.0/24,185.220.101.128,AUDITORIA,1,1
185.220.101.0/24,185.220.101.129,AUDITORIA,1,1
185.220.101.0/24,185.220.101.130,AUDITORIA,1,1
185.220.101.0/24,185.220.101.131,AUDITORIA,1,1
185.220.101.0/24,185.220.101.133,AUDITORIA,1,1
185.220.101.0/24,185.220.101.134,AUDITORIA,1,1
185.220.101.0/24,185.220.101.135,AUDITORIA,1,1
185.220.101.0/24,185.220.101.136,AUDITORIA,1,1
185.220.101.0/24,185.220.101.137,AUDITORIA,1,1
185.220.101.0/24,185.220.101.138,AUDITORIA,1,1
185.220.101.0/24,185.220.101.139,AUDITORIA,1,1
185.220.101.0/24,185.220.101.140,AUDITORIA,1,1
185.220.101.0/24,185.220.101.142,AUDITORIA,1,1
185.220.101.0/24,185.220.101.143,AUDITORIA,1,1
185.220.101.0/24,185.220.101.144,AUDITORIA,1,1
185.220.101.0/24,185.220.101.145,AUDITORIA,1,1
185.220.101.0/24,185.220.101.146,AUDITORIA,1,1
185.220.101.0/24,185.220.101.147,AUDITORIA,1,1
185.220.101.0/24,185.220.101.148,AUDITORIA,1,1
185.220.101.0/24,185.220.101.149,AUDITORIA,1,1
185.220.101.0/24,185.220.101.150,AUDITORIA,1,1
185.220.101.0/24,185.220.101.151,AUDITORIA,1,1
185.220.101.0/24,185.220.101.152,AUDITORIA,1,1
185.220.101.0/24,185.220.101.153,AUDITORIA,1,1
185.220.101.0/24,185.220.101.154,AUDITORIA,1,1
185.220.101.0/24,185.220.101.156,AUDITORIA,1,1
185.220.101.0/24,185.220.101.157,AUDITORIA,1,1
185.220.101.0/24,185.220.101.158,AUDITORIA,1,1
185.220.101.0/24,185.220.101.159,AUDITORIA,1,1
185.220.101.0/24,185.220.101.160,AUDITORIA,1,1
185.220.101.0/24,185.220.101.161,AUDITORIA,1,1
185.220.101.0/24,185.220.101.162,AUDITORIA,1,1
185.220.101.0/24,185.220.101.163,AUDITORIA,1,1
185.220.101.0/24,185.220.101.164,AUDITORIA,1,1
185.220.101.0/24,185.220.101.165,AUDITORIA,1,1
185.220.101.0/24,185.220.101.166,AUDITORIA,1,1
185.220.101.0/24,185.220.101.167,AUDITORIA,1,1
185.220.101.0/24,185.220.101.168,AUDITORIA,1,1
185.220.101.0/24,185.220.101.170,AUDITORIA,1,1
185.220.101.0/24,185.220.101.171,AUDITORIA,1,1
185.220.101.0/24,185.220.101.172,AUDITORIA,1,1
185.220.101.0/24,185.220.101.173,AUDITORIA,1,1
185.220.101.0/24,185.220.101.174,AUDITORIA,1,1
185.220.101.0/24,185.220.101.175,AUDITORIA,1,1
185.220.101.0/24,185.220.101.176,AUDITORIA,1,1
185.220.101.0/24,185.220.101.177,AUDITORIA,1,1
185.220.101.0/24,185.220.101.178,AUDITORIA,1,1
185.220.101.0/24,185.220.101.179,AUDITORIA,1,1
185.220.101.0/24,185.220.101.180,AUDITORIA,1,1
185.220.101.0/24,185.220.101.181,AUDITORIA,1,1
185.220.101.0/24,185.220.101.182,AUDITORIA,1,1
185.220.101.0/24,185.220.101.183,AUDITORIA,1,1
185.220.101.0/24,185.220.101.184,AUDITORIA,1,1
185.220.101.0/24,185.220.101.185,AUDITORIA,1,1
185.220.101.0/24,185.220.101.186,AUDITORIA,1,1
185.220.101.0/24,185.220.101.187,AUDITORIA,1,1
185.220.101.0/24,185.220.101.188,AUDITORIA,1,1
185.220.101.0/24,185.220.101.189,AUDITORIA,1,1
185.220.101.0/24,185.220.101.190,AUDITORIA,1,1
185.220.101.0/24,185.220.101.192,AUDITORIA,1,1
185.220.101.0/24,185.220.101.193,AUDITORIA,1,1
185.220.101.0/24,185.220.101.194,AUDITORIA,1,1
185.220.101.0/24,185.220.101.195,AUDITORIA,1,1
185.220.101.0/24,185.220.101.196,AUDITORIA,1,1
185.220.101.0/24,185.220.101.198,AUDITORIA,1,1
185.220.101.0/24,185.220.101.199,AUDITORIA,1,1
185.220.101.0/24,185.220.101.200,AUDITORIA,1,1
185.220.101.0/24,185.220.101.201,AUDITORIA,1,1
185.220.101.0/24,185.220.101.202,AUDITORIA,1,1
185.220.101.0/24,185.220.101.203,AUDITORIA,1,1
185.220.101.0/24,185.220.101.204,AUDITORIA,1,1
185.220.101.0/24,185.220.101.205,AUDITORIA,1,1
185.220.101.0/24,185.220.101.206,AUDITORIA,1,1
185.220.101.0/24,185.220.101.207,AUDITORIA,1,1
185.220.101.0/24,185.220.101.208,AUDITORIA,1,1
185.220.101.0/24,185.220.101.209,AUDITORIA,1,1
185.220.101.0/24,185.220.101.210,AUDITORIA,1,1
185.220.101.0/24,185.220.101.211,AUDITORIA,1,1
